,SMILES,DOI,InChI_Key, construction, architecture, complement, HOMO_exp, LUMO_exp, electrochemical_gap_exp, optical_gap_exp, V_OC_exp, J_SC_exp, fill_factor_exp,HOMO_comp,LUMO_comp,electrochemical_gap_comp,optical_gap_comp,PCE_comp,V_OC_comp,J_SC_comp,fill_factor_comp,mol_obj,PCE_exp
329,Cn1c2ccsc2c2sc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,10.1021/ar900061z,VWSABRSNELBHLV-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.0,-3.43,1.57,1.46,0.52,9.47,44.0,-0.542125866561259,-0.725289513177332,0.31949584613697,0.466491719969088,-0.706590359132136,-1.1018291594094,0.170518283734436,-0.61017007034635,<rdkit.Chem.rdchem.Mol object at 0x00000227A839C190>,2.17
331,N#CC(=CC=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)C(=O)O,10.1039/B908802D,GGWRNMPYTNCJIV-GYZJEQCASA-N,molecule,DSSC,TiO2,,,,,0.73,11.1,66.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.61856377511409,0.0274641048972525,0.522856859868063,0.812240054096312,<rdkit.Chem.rdchem.Mol object at 0x00000227A839C350>,5.3
3,C#Cc1cc2c(s1)c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1n2C,10.1016/j.solmat.2010.05.042,GBMQZLANRSVNDA-UHFFFAOYSA-N,polymer,bulk,PC61BM,,,,,0.74,5.87,40.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-0.888640288118039,0.0812399746261409,-0.607652804658852,-0.868790092972288,<rdkit.Chem.rdchem.Mol object at 0x00000227A3DCAC80>,1.74
211,Cc1cc(-c2ccc(-c3cc(C)c(-c4cccs4)s3)c3nsnc32)sc1-c1cccs1,10.1021/ja210687r,ROOICZGMEHUXNU-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.07,-3.53,1.54,1.65,0.74,5.6,63.0,-0.571031747624133,-0.787643101229563,0.287275585764508,0.684546285803865,-0.524540430146233,0.0812399746261409,-0.666015636288348,0.618275037126858,<rdkit.Chem.rdchem.Mol object at 0x00000227A5651CF0>,2.6
76,CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)N(C)C(=O)C2=C1c1cccs1,10.1039/C1EE01072G,LGTATYAIFFFVLT-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.04,-3.47,1.57,1.29,0.55,7.5,51.0,-0.558643512882901,-0.750230948398225,0.31949584613697,0.271390266327445,-0.73622639408333,-0.940501550222736,-0.255314228525224,-0.157585030750957,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CCA50>,2.1
246,Cc1ccc(-n2c(-c3ccsc3)nc3c2c2ccc(C)cc2c2cc(C)ccc32)cc1,10.1002/adma.200802379,BTSJTKMBWMKFKV-UHFFFAOYSA-N,polymer,bulk,PC61BM,-4.7,-2.9,1.8,1.85,0.61,11.3,60.0,-0.418243519148943,-0.394815496500512,0.566517842325847,0.91407740773521,0.110517461665058,-0.617846331849407,0.566088587001024,0.424310020157404,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D9F90>,4.1
63,CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C,10.1021/cm2019586,KPEPURNRRCAANU-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.24,-3.1,2.14,1.68,0.82,13.27,56.7,-0.641231744491112,-0.519522672604972,0.931680793213751,0.718975954093567,0.986897352364639,0.511446932457247,0.991921099260683,0.210948501491005,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E0F90>,6.17
46,CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C,10.1021/ja909111p,VENYVECAJGYQMX-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.48,-3.45,2.03,1.97,1.0,6.1,40.0,-0.740337622420965,-0.737760230787779,0.813539838514723,1.05179608089402,-0.592279938606104,1.47941258757724,-0.557936318455947,-0.868790092972288,<rdkit.Chem.rdchem.Mol object at 0x00000227A66DBDD0>,2.44
208,Cc1cc(-c2c3ccsc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)sc32)sc1C,10.1039/C3PY01598J,HRXJRWPIUGGKCT-SHPMXRCFSA-N,polymer,bulk,PC71BM,-5.71,-3.96,1.75,1.56,0.94,8.22,51.0,-0.835314088770407,-1.05576352985415,0.512817408371743,0.58125728093476,0.0427779532051869,1.15675736920391,-0.0996800108465667,-0.157585030750957,<rdkit.Chem.rdchem.Mol object at 0x00000227A5651510>,3.94
77,CN1C(=O)C2=C(c3ccc(-c4cc5ccccc5c5ccccc45)s3)N(C)C(=O)C2=C1c1ccc(-c2cc3ccccc3c3ccccc23)s1,10.1016/j.solmat.2011.05.006,BQMFXDNIGXYASP-UHFFFAOYSA-N,molecule,bulk,PC71BM,-4.98,-3.68,1.3,1.77,0.92,2.79,27.0,-0.533867043400438,-0.881173483307908,0.0295135027848108,0.822264958962672,-1.33318081238594,1.04920562974613,-1.27342140250644,-1.70930516650659,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CC5F0>,0.69
